I wonder;269
I struggle;1
I'm not sure;928
I am not sure;310
I'm curious;47
I am curious;8
I bet;18
I wonder;269
I'm not sure;928
I am not sure;310
I'm curious;47
I am curious;8
I would guess not;0
I'm confused;33
I am confused;6
I guess;847
I doubt;88
I think;5352
I believe;681
I guess;847
I reckon;0
I suppose;167
I suspect;256
I don't understand;221
I do not understand;11
I couldn't understand;4
I could not understand;1
I don't know;692
I do not know;41
I don't get it;5
I do not get it;0
I'm unsure;15
I am unsure;6
