Feature;Number of comments;Number of features
It appears;148;148
It seems;1127;1160
argues that;1;1
claims that;1;1
contends that;0;0
maintains that;0;0
There is a probability;0;0
There is a likelihood;0;0
There is a possibility;5;5
There is a chance;3;3
There's a probability;0;0
There's a likelihood;0;0
There's a possibility;7;7
There's a chance;9;9
I didn't understand;6;6
I did not understand;2;2
I didn't know;54;54
I did not know;6;6
I didn't get it;2;2
I did not get it;0;0
It turns out;121;119
Total;1473;1523
